Date,BTC_Price
2019-11-16,8554.62
2019-11-17,8420.74
2019-11-18,8513.98
2019-11-19,8259.36
2019-11-20,8066.8
2019-11-21,8118.76
2019-11-22,7851.55
2019-11-23,7382.44
2019-11-24,7251.3
2019-11-25,7091.21
2019-11-26,6925.08
2019-11-27,7185.05
2019-11-28,7275.01
2019-11-29,7528.55
2019-11-30,7626.38
2019-12-01,7577.47
2019-12-02,7330.24
2019-12-03,7349.23
2019-12-04,7254.19
2019-12-05,7296.66
2019-12-06,7342.06
2019-12-07,7428.76
2019-12-08,7596.85
2019-12-09,7430.16
2019-12-10,7496.5
2019-12-11,7351.1
2019-12-12,7312.48
2019-12-13,7167.86
2019-12-14,7180.6
2019-12-15,7137.23
2019-12-16,7135.9
2019-12-17,7002.22
2019-12-18,6662.49
2019-12-19,6814.91
2019-12-20,7261.25
2019-12-21,7096.02
2019-12-22,7099.7
2019-12-23,7228.14
2019-12-24,7545.3
2019-12-25,7303.32
2019-12-26,7296.3
2019-12-27,7212.13
2019-12-28,7255.72
2019-12-29,7263.49
2019-12-30,7348.73
2019-12-31,7338.18
2020-01-01,7161.03
2020-01-02,7136.76
2020-01-03,7054.64
2020-01-04,7135.06
2020-01-05,7333.99
2020-01-06,7304.15
2020-01-07,7496.79
2020-01-08,7904.84
2020-01-09,8324.33
2020-01-10,7876.12
2020-01-11,7873.25
2020-01-12,8074.14
2020-01-13,8005.78
2020-01-14,8114.62
2020-01-15,8558.76
2020-01-16,8792.03
2020-01-17,8624.06
2020-01-18,8863.28
2020-01-19,8874.97
2020-01-20,8803.1
2020-01-21,8658.12
2020-01-22,8740.89
2020-01-23,8700.11
2020-01-24,8393.89
2020-01-25,8351.38
2020-01-26,8341.21
2020-01-27,8542.85
2020-01-28,8736.23
2020-01-29,9069.74
2020-01-30,9366.71
2020-01-31,9389.9
2020-02-01,9306.95
2020-02-02,9403.87
2020-02-03,9309.9
2020-02-04,9388.68
2020-02-05,9230.46
2020-02-06,9440.25
2020-02-07,9596.18
2020-02-08,9772.67
2020-02-09,9826.84
2020-02-10,10127.24
2020-02-11,10002.88
2020-02-12,9875.0
2020-02-13,10371.66
2020-02-14,10303.65
2020-02-15,10242.77
2020-02-16,10057.14
2020-02-17,9916.5
2020-02-18,9707.04
2020-02-19,9906.74
2020-02-20,10058.86
2020-02-21,9479.61
2020-02-22,9718.09
2020-02-23,9713.83
2020-02-24,9961.79
2020-02-25,9790.5
2020-02-26,9470.5
2020-02-27,9035.14
2020-02-28,8822.51
2020-02-29,8710.74
2020-03-01,8705.32
2020-03-02,8571.64
2020-03-03,8719.1
2020-03-04,8803.99
2020-03-05,8780.23
2020-03-06,9133.93
2020-03-07,9140.07
2020-03-08,9070.51
2020-03-09,8584.95
2020-03-10,7905.23
2020-03-11,7884.36
2020-03-12,7830.22
2020-03-13,6601.08
2020-03-14,5344.21
2020-03-15,5376.95
2020-03-16,5153.6
2020-03-17,5018.6
2020-03-18,5431.7
2020-03-19,5375.42
2020-03-20,5786.51
2020-03-21,6422.33
2020-03-22,6190.54
2020-03-23,6141.22
2020-03-24,6242.73
2020-03-25,6751.25
2020-03-26,6720.08
2020-03-27,6649.55
2020-03-28,6529.91
2020-03-29,6205.16
2020-03-30,6055.41
2020-03-31,6241.19
2020-04-01,6477.81
2020-04-02,6394.0
2020-04-03,6695.96
2020-04-04,6835.13
2020-04-05,6741.73
2020-04-06,6826.21
2020-04-07,7074.33
2020-04-08,7427.05
2020-04-09,7360.37
2020-04-10,7358.94
2020-04-11,6898.49
2020-04-12,6796.1
2020-04-13,6856.27
2020-04-14,6872.48
2020-04-15,7315.45
2020-04-16,6850.7
2020-04-17,6844.44
2020-04-18,6844.44
2020-04-19,7129.01
2020-04-20,7478.66
2020-04-21,7035.29
2020-04-22,6900.9
2020-04-23,6917.07
2020-04-24,7304.51
2020-04-25,7493.28
2020-04-26,7688.96
2020-04-27,7695.88
2020-04-28,7795.85
2020-04-29,7701.25
2020-04-30,8271.34
2020-05-01,8865.21
2020-05-02,8877.16
2020-05-03,8881.55
2020-05-04,9116.41
2020-05-05,8762.97
2020-05-06,8969.41
2020-05-07,9047.99
2020-05-08,9509.82
2020-05-09,9819.07
2020-05-10,9729.37
2020-05-11,8929.98
2020-05-12,8557.17
2020-05-13,8796.35
2020-05-14,9060.61
2020-05-15,9551.1
2020-05-16,9500.68
2020-05-17,9303.77
2020-05-18,9759.11
2020-05-19,9814.41
2020-05-20,9660.22
2020-05-21,9703.61
2020-05-22,9238.42
2020-05-23,9238.42
2020-05-24,9194.53
2020-05-25,9128.97
2020-05-26,8795.81
2020-05-27,8902.64
2020-05-28,8902.64
2020-05-29,8902.64
2020-05-30,8902.64
2020-05-31,8902.64
2020-06-01,8902.64
2020-06-02,8902.64
2020-06-03,8902.64
2020-06-04,8902.64
2020-06-05,8902.64
2020-06-06,8902.64
2020-06-07,8902.64
2020-06-08,8902.64
2020-06-09,8902.64
2020-06-10,8902.64
2020-06-11,8902.64
2020-06-12,8902.64
2020-06-13,8902.64
2020-06-14,8902.64
2020-06-15,8902.64
2020-06-16,8902.64
2020-06-17,8902.64
2020-06-18,8902.64
2020-06-19,8902.64
2020-06-20,8902.64
2020-06-21,8902.64
2020-06-22,8902.64
2020-06-23,8902.64
2020-06-24,8902.64
2020-06-25,8902.64
2020-06-26,8902.64
2020-06-27,8902.64
2020-06-28,8902.64
2020-06-29,8902.64
2020-06-30,8902.64
2020-07-01,8902.64
2020-07-02,8902.64
2020-07-03,8902.64
2020-07-04,8902.64
2020-07-05,8902.64
2020-07-06,8902.64
2020-07-07,8902.64
2020-07-08,8902.64
2020-07-09,8902.64
2020-07-10,8902.64
2020-07-11,8902.64
2020-07-12,8902.64
